,player_id,year,games,at_bats,runs,hits,double,triple,home_runs,runs_batted_in,stolen_bases,caught_stealing,walks,strike_outs,weight,height,birth_region_ASIA_MIDDLEEAST,birth_region_AUSTRALIA_OCEANIA,birth_region_CENTAMERICA_CARRIBEAN,birth_region_EUROPE_RUSSIA,birth_region_SOUTHAMERICA,birth_region_UNKNOWN,birth_region_US_CAN,dom_bat_hand_B,dom_bat_hand_L,dom_bat_hand_R,dom_throw_hand_L,dom_throw_hand_R,all_star
3650,luebkco01,2011,47,33.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,205.0,76.0,0,0,0,0,0,0,1,0,0,1,1,0,False
3651,lunahe01,2004,83,173.0,25.0,43.0,7.0,2.0,3.0,22.0,6.0,3.0,13.0,37.0,190.0,73.0,0,0,1,0,0,0,0,0,0,1,0,1,False
3652,lunahe01,2005,64,137.0,26.0,39.0,10.0,2.0,1.0,18.0,10.0,2.0,9.0,25.0,190.0,73.0,0,0,1,0,0,0,0,0,0,1,0,1,False
3653,macdomi01,2001,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,76.0,0,0,0,0,0,0,1,1,0,0,0,1,True
3654,macdomi01,2002,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,76.0,0,0,0,0,0,0,1,1,0,0,0,1,True
3655,maiermi01,2006,5,13.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,210.0,75.0,0,0,0,0,0,0,1,0,1,0,0,1,False
3656,maiermi01,2008,34,91.0,9.0,26.0,1.0,1.0,0.0,9.0,0.0,2.0,2.0,18.0,210.0,75.0,0,0,0,0,0,0,1,0,1,0,0,1,False
3657,mainesc01,2010,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,75.0,0,0,0,0,0,0,1,0,1,0,1,0,False
3658,mainesc01,2011,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,75.0,0,0,0,0,0,0,1,0,1,0,1,0,False
3659,maldoca03,2006,8,19.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0,260.0,74.0,0,0,0,0,1,0,0,0,0,1,0,1,False
3660,maldoca03,2007,13,24.0,2.0,5.0,1.0,0.0,2.0,4.0,0.0,0.0,5.0,8.0,260.0,74.0,0,0,0,0,1,0,0,0,0,1,0,1,False
3661,malonma02,2009,8,12.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,210.0,76.0,0,0,0,0,0,0,1,0,1,0,1,0,False
3662,malonma02,2010,7,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,210.0,76.0,0,0,0,0,0,0,1,0,1,0,1,0,False
3663,marinjh01,2010,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,73.0,0,0,1,0,0,0,0,0,0,1,0,1,False
3664,marinjh01,2012,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,73.0,0,0,1,0,0,0,0,0,0,1,0,1,False
3665,martelu01,2011,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,71.0,0,0,1,0,0,0,0,0,0,1,0,1,False
3666,martelu01,2012,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,71.0,0,0,1,0,0,0,0,0,0,1,0,1,False
3667,martilu02,2011,22,59.0,7.0,12.0,1.0,1.0,1.0,10.0,1.0,0.0,8.0,14.0,210.0,72.0,0,0,0,0,0,0,1,0,0,1,0,1,False
3668,martilu02,2012,10,18.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,210.0,72.0,0,0,0,0,0,0,1,0,0,1,0,1,False
3669,mathejo02,2008,54,133.0,20.0,32.0,7.0,0.0,8.0,18.0,1.0,0.0,12.0,32.0,215.0,76.0,0,0,0,0,0,0,1,0,0,1,0,1,False
3670,mathejo02,2010,36,60.0,7.0,13.0,4.0,0.0,0.0,3.0,1.0,1.0,2.0,11.0,215.0,76.0,0,0,0,0,0,0,1,0,0,1,0,1,False
3671,matsuhi01,2003,163,623.0,82.0,179.0,42.0,1.0,16.0,106.0,2.0,2.0,63.0,86.0,210.0,74.0,1,0,0,0,0,0,0,0,1,0,0,1,True
3672,matsuhi01,2004,162,584.0,109.0,174.0,34.0,2.0,31.0,108.0,3.0,0.0,88.0,103.0,210.0,74.0,1,0,0,0,0,0,0,0,1,0,0,1,True
3673,mattike01,2012,3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,195.0,73.0,0,0,0,0,0,0,1,0,1,0,1,0,False
